origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
South Africa,ZA,Spain,ES,road,box,live animal,10619,30,2000,yes,Veterinary clearance; import permits; quarantine if required,no,,"Durable, escape-proof crate; proper ventilation; humidity control"
Italy,IT,Netherlands,NL,rail,box,toys,950300,20,9000,no,,no,,Secure tamper-evident packaging; child-safety seals; standard toy packaging
Indonesia,ID,Singapore,SG,air,envelope,cosmetics,330499,2,90,yes,Cosmetics import control; certain colorants restricted,no,,Cool box; seal integrity; cosmetic ingredient labeling
United States,US,Canada,CA,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,Prescription validation; pharmacy license; controlled substance rules,no,,Temperature-controlled envelope; chain of custody where required
France,FR,Italy,IT,sea,pallet,fresh fruit/vegetables,80810,1000,28000,no,,no,,Ventilated pallet; shrink wrap; refrigerated container where needed
Spain,ES,United Kingdom,GB,rail,crate,pharmaceutical (prescription),300490,800,12000,yes,GDP-compliant storage; cold chain and compliance documentation,no,,Temperature-controlled crate; data logger; validated transit time
Netherlands,NL,Saudi Arabia,SA,sea,crate,chemical (industrial solvent),382200,4000,25000,yes,Hazardous materials declaration; solvent-specific permits,no,,UN-approved crate; fire retardant packaging; leak containment
South Korea,KR,Japan,JP,air,box,lithium-ion battery,850760,2,100,yes,IATA lithium battery rules; DG declaration; packaging limits,no,,UN standard battery packaging; external battery labeling; insulation
Mexico,MX,United States,US,courier,envelope,cosmetics,330499,2,40,no,,no,, tamper-evident seal; fragrance-free packaging; customer safety labeling
Saudi Arabia,SA,United Arab Emirates,AE,multimodal,box,alcoholic beverages,220830,23,35000,yes,Excise duties; import permit; container-specific restrictions,no,,Temperature-controlled packaging; sealed container; traceability
Canada,CA,Mexico,MX,sea,case,pharmaceutical (prescription),300490,2500,21000,yes,Pharmacy licenses; controlled substance tracking; border clearance,no,,Regulated medication pallet; secure chain of custody; temperature control
United Kingdom,GB,Singapore,SG,air,box,toys,950300,23,300,no,,no,,Tamper-evident seals; safety compliance labeling; EU toy packaging standard references
France,FR,South Africa,ZA,road,box,fresh fruit/vegetables,80810,23,6000,no,,no,,Refrigerated trailer; insulation; humidity control
Germany,DE,Spain,ES,rail,crate,live animal,10619,200,12000,yes,Veterinary checks; import permits; quarantine if needed,no,,Ventilated crate; escape-proof; feed and water supply
India,IN,United States,US,air,box,lithium-ion battery,850760,2,400,yes,IATA DG declaration required; lithium batteries limited under air rules,no,,UN-certified packaging; 2 kg max per package; thermal packaging for Li-ion
China,CN,Germany,DE,sea,pallet,pharmaceutical (prescription),300490,1000,25000,yes,Phytosanitary/health authority approval not required; but import license may be needed; GDP controls,no,,Temperature controlled containers; tamper-evident seals; packing list in checked language
Brazil,BR,Japan,JP,air,box,cosmetics,330499,8,360,no,,no,,Cosmetics compliant with IMF standards; sealed containers; batch numbers
Germany,DE,Canada,CA,multimodal,case,electronics (consumer),851712,40,18000,no,,no,,Original manufacturer packaging; shock-absorbent inserts; ESD protection
Australia,AU,United Kingdom,GB,road,box,live animal,10619,20,12000,yes,Veterinary certificate; import permit; quarantine documentation required,yes,Wildlife protection laws prevent most cross-border movement,Containment transport kennel; veterinary clearance; temperature control as needed
India,IN,Spain,ES,rail,crate,seed,120991,1500,18000,yes,Phytosanitary certificate required; origin phytosanitary inspection,no,,Fumigation certificate; pest-free packaging; moisture control
United States,US,South Korea,KR,sea,pallet,chemical (industrial solvent),382200,1500,26000,yes,Hazardous material; IATA/IMDG compliance; proper labeling,no,,Hazmat-certified packaging; UN numbers; double containment
Japan,JP,Singapore,SG,courier,envelope,pharmaceutical (prescription),300490,2,80,yes,IATA DG declaration; controlled substance handling per destination laws,no,,Tamper-evident seals; prescription verification; temperature control if required
Italy,IT,France,FR,air,box,electronicss (consumer),851712,23,420,no,,no,,Original packaging; anti-static bags; shock protection
United Kingdom,GB,United States,US,air,envelope,fresh fruit/vegetables,80810,2,90,yes,Phytosanitary inspection; seasonal import restrictions may apply,no,,Perishable-friendly packaging; insulated liner; clear labeling
Canada,CA,Mexico,MX,road,box,cosmetics,330499,40,15000,no,,yes,Counterfeit cosmetics detected under consumer safety laws,Tamper-evident seals; labeling in destination language
South Korea,KR,Indonesia,ID,sea,crate,live animal,10619,500,26000,yes,CITES permits where applicable; veterinary export permit,no,,Biosecure transport; compliant with animal welfare standards
United Arab Emirates,AE,Saudi Arabia,SA,road,box,toys (small),950300,20,12000,no,,no,,Age-appropriate packaging; bright labeling; tamper-evident seals
France,FR,Netherlands,NL,rail,pallet,electronicss (consumer),851712,1000,21000,no,,no,,Garner ESD protection; secure stacking; moisture barrier
Spain,ES,Canada,CA,air,box,alcoholic beverages,220830,30,450,yes,Import permits; label compliance; tax and excise controls,no,,Temperature-controlled containment; sealed bottle packaging
Netherlands,NL,Mexico,MX,courier,envelope,counterfeit goods,0,0.5,5,yes,Counterfeit prohibition; trademark/copyright enforcement,yes,Banned due to intellectual property violations,Sealed; origin authentication; legal disposal if seized
South Africa,ZA,China,CN,rail,box,fresh fruit/vegetables,80810,15,15000,no,,no,,Refrigerated containers; moisture control; fast transit
Mexico,MX,Spain,ES,sea,crate,pharmaceutical (prescription),300490,800,22000,yes,Import permit; health authority clearance; import quotas,no,,Temperature controlled crate; chain of custody; destruction plan if failed
Saudi Arabia,SA,Japan,JP,air,box,chemical (industrial solvent),382200,23,240,yes,Hazardous materials; IATA DG; proper labeling,no,,UN-approved packaging; secondary containment; MSDS on package
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; UN3480/UN3481 handling; battery must be properly insulated and packaged,no,,UN-certified packaging required; lithium battery must be placed in luggage or installed in device where possible; proper insulation between cells
China,CN,Germany,DE,sea,crate,electronic devices (consumer),851712,500,26000,yes,Export controls; dual-use considerations; end-use/end-user verification,no,,Fumigation certificate; packaged with anti-static materials; tamper-evident seals
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Phytosanitary or health certificate may be required depending on ingredient,no,,Temperature control not required; basic protective packaging; compliant with IATA pharma rules
Canada,CA,United Kingdom,GB,courier,box,live animal,10619,23,150,yes, Veterinary certificate; health clearance; import permit in destination,yes,Wildlife protection laws; live animals generally restricted for courier services,Containment cage; temperature and humidity control; isolation protocol; biosecure packaging
United States,US,Canada,CA,road,pallet,fresh fruit/vegetables,80810,1000,18000,no,,no,,Temperature-controlled pallet; insulated liner; perishable tracking; FIFO packaging
Germany,DE,France,FR,rail,crate,chemical (industrial solvent),382420,450,19000,yes,Hazmat classification; ADR/IMDG compliance; segregation of incompatible chemicals,yes,Certain solvents prohibited; environmental restrictions,Hazmat packaging; leak-proof containment; secondary containment; labeling
Australia,AU,Singapore,SG,air,box,cosmetics,330499,23,350,no,,no,,Tamper-evident seals; cosmetic labels with ingredients; secure outer packaging
Japan,JP,South Korea,KR,sea,pallet,electronic (consumer),852812,1000,25000,yes,Warranty/CE markings; ensure compliance with destination electronics safety standards,no,,Anti-static bags; moisture barrier; shock-absorbent packaging
Italy,IT,Spain,ES,multimodal,box,toys,950300,30,8000,no,,no,,Original manufacturer packaging; child-safety labels; choking hazard warnings
Netherlands,NL,Saudi Arabia,SA,air,envelope,pharmaceutical (prescription),300490,2,120,yes,Prescription drug import controls; pharmacy license verification; cold-chain handling,no,,Insulated pouch; cold-chain maintenance; tamper-evident seal
South Africa,ZA,United Arab Emirates,AE,courier,box,live animal,10619,25,200,yes, Veterinary clearance; quarantine requirements; import permit,yes,Biosecurity risk; prohibited species or breeding stock,Secure transport kennel; contamination control; wipe-down protocol
Mexico,MX,United Kingdom,GB,rail,crate,plant/seed,120991,300,18000,yes,Phytosanitary certificate; origin pest risk assessment; plant health inspection,no,,Pest-proof packaging; sealing; moisture control; avoid soil contamination
Indonesia,ID,Canada,CA,road,box,seed,120991,500,15000,yes,Phytosanitary treaty; seed certification; origin/source declaration,no,,Vacuum-sealed; moisture barrier; labeling with lot numbers
Saudi Arabia,SA,Australia,AU,sea,pallet,alcoholic beverages,220830,1000,26000,yes,Alcohol import permits; age verification; duty/tax compliance,no,,Tamper-evident secondary packaging; controlled-temperature storage; allergen/warning labeling
United Kingdom,GB,France,FR,air,box,toys,950300,20,400,no,,no,,Original packaging; safety compliance markings; choking hazard warnings
Spain,ES,Netherlands,NL,multimodal,crate,cosmetics,330499,500,12000,no,,no,,Tamper-evident seals; batch/lot numbers; proper labeling per destination regulations
France,FR,Italy,IT,rail,box,pharmaceutical (prescription),300490,23,2000,yes,EU pharmaceutical transport regulations; temperature control; chain of custody,no,,Cold chain packaging; validated container; pharma secures seals
Japan,JP,Indonesia,ID,air,envelope,pharmaceutical (prescription),300490,2,100,yes,Controlled substance controls; origin proof; import license,no,,Double-sealed packaging; temperature stability; paperwork ready
United States,US,Germany,DE,sea,pallet,chemical (industrial solvent),382200,1000,20000,yes,ADR/IMDG; segregation; limit on hazardous materials concentration,no,,Secondary containment; leak-proof packaging; label hazard class; proper documentation
South Korea,KR,India,IN,road,box,live animal,10619,25,500,yes,Quarantine and veterinary export-import clearances; permit,yes,Biosecurity risk; prohibited species,Secure transport crate; isolation measures; sanitized container
Singapore,SG,Spain,ES,courier,envelope,cosmetics,330499,2,120,no,,no,,Tamper-evident seal; cosmetic labels; batch numbers
India,IN,United States,US,air,box,lithium-ion battery,850760,2,250,yes,IATA DG declaration required; limited per-package watt-hour rating; special handling for lithium cells,no,,UN-certified packaging required; temperature controlled environment not needed for this item; tamper-evident seals recommended
Germany,DE,Canada,CA,road,box,electronic consumer electronics,851712,23,15000,no,,no,,Original manufacturer's packaging; hazmat labels not required for general electronics; standard cushioning
China,CN,Japan,JP,sea,pallet,toys (small),950300,100,20000,no,,no,,Fumigation certificate not required; tamper-evident seals optional
Brazil,BR,United Kingdom,GB,air,envelope,pharmaceutical (prescription),300490,2,300,yes,Pharmacy license validity; controlled drug compliance; import license in destination,no,,Sealed original prescription; temperature control if needed; IATA DG declaration
Australia,AU,New Zealand,NZ,courier,envelope,cosmetics,330499,2,200,no,,no,,Sealed packaging; cosmetic labels in compliance with destination rules
United Arab Emirates,AE,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,600,yes,Import license required; Arabic labeling; excise duties; age verification at import,yes,Religious/cultural restrictions; ban on unlicensed imports,UN-certified packaging; temperature control not critical but prevent leakage
United States,US,Mexico,MX,multimodal,crate,pharmaceutical (prescription),300490,32,18000,yes,Certificate of Good Manufacturing Practice; import permit; veterinary or medical oversight if region-specific,no,,Tamper-evident seals; cold chain if required; documentation in bilingual format
